experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,source_snapshot_sha256,execution_inputs_clean,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,support_status,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,tabular_greedy_action,neural_greedy_action,mixed_selected_action,optimal_action,tabular_action_correct,neural_action_correct,relative_reliability_score,predicted_better_branch,actually_better_branch,actually_better_branch_value,tabular_q_error,neural_q_error,post_shift,shift_region,steps_since_shift
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,160,,,160,1,-2.0500000000000003,160,0.0,160,0,nan,nan,0,0,3,0.3927272000000812,0.3927272000000812,0.0,0.3927272000000812,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.0,0.0,1.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.0,nan,nan,unsupported,28.675625000000004,26.45,none,16.0,64.0,640.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,262,,,262,2,-0.390000000000001,102,1.0,262,0,nan,nan,0,0,3,0.5390072999944095,0.5390072999944095,0.0,0.5390072999944095,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.0,0.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.0,nan,nan,unsupported,24.54215686274509,22.8,none,36.0,144.0,1440.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,326,,,326,3,0.2699999999999996,64,1.0,326,0,nan,nan,0,0,3,0.6309137999996892,0.6309137999996892,0.0,0.6309137999996892,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.030303030303030304,0.0,1.0,1.0,53.0,0.0,0.0,0.0,0.0,1.0,0.9375,0.005681818181818182,0.8849431818181819,0.0,nan,nan,0.00594766137275253,nan,0.0625,0.0625,nan,0.828125,nan,nan,unsupported,55.139062499999994,22.3,neural,53.0,212.0,2120.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,370,,,370,4,0.48999999999999977,44,1.0,370,0,nan,nan,0,0,3,0.6993326000010711,0.6993326000010711,0.0,0.6993326000010711,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.022727272727272728,0.0,1.0,1.0,71.0,0.0,0.0,0.0,0.0,1.0,0.6363636363636364,0.03305785123966942,0.9669421487603306,0.0,nan,nan,0.034604575259651084,nan,0.36363636363636365,0.36363636363636365,nan,0.6363636363636364,nan,nan,unsupported,36.00000000000001,22.55,neural,71.0,284.0,2840.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,530,,,530,5,-1.8700000000000014,160,0.0,530,2,0.008387691574171185,0.009031332097947598,0,0,3,0.960543699999107,0.960543699999107,0.0,0.960543699999107,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.05642135642135643,0.0,1.0,1.0,102.0,1.0,0.0,0.0,0.0,0.0,0.04375,0.07601190476190475,0.9239880952380952,0.0,nan,nan,0.08112259110705404,nan,0.95625,0.95625,nan,0.04375,nan,nan,exact,35.21124999999999,23.85,neural,102.0,408.0,4080.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,533,,,533,6,0.96,3,1.0,533,2,0.008387691574171185,0.009031332097947598,0,0,3,0.9637010999940685,0.9637010999940685,0.0,0.9637010999940685,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.05642135642135643,0.0,1.0,1.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20000000000000004,0.8000000000000002,0.0,nan,nan,0.22119921692859512,nan,1.0,1.0,nan,0.0,nan,nan,exact,17.666666666666668,19.2,neural,103.0,412.0,4120.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,693,,,693,7,-1.9800000000000015,160,0.0,693,12,0.00499369435904858,0.01368828397244215,0,0,3,1.256733099995472,1.256733099995472,0.0,1.256733099995472,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.09977450451758751,0.0,1.0,1.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1614520624303233,0.8385479375696768,0.0,nan,nan,0.17914468373730089,nan,1.0,1.0,nan,0.0,nan,nan,exact,43.6875,23.85,neural,131.0,524.0,5240.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,853,,,853,8,-2.0500000000000007,160,0.0,853,22,0.004158898714442991,0.01368828397244215,0,0,3,1.5040131999994628,1.5040131999994628,0.0,1.5040131999994628,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.1710618019159493,0.0,1.0,1.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2348972787542399,0.7651027212457602,0.0,nan,nan,0.27662187808793914,nan,1.0,1.0,nan,0.0,nan,nan,exact,40.609375,23.15,neural,159.0,636.0,6360.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,863,,,863,9,0.9,10,1.0,863,22,0.004158898714442991,0.01368828397244215,0,0,3,1.5119187999953283,1.5119187999953283,0.0,1.5119187999953283,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.1710618019159493,0.0,1.0,1.0,163.0,0.0,0.0,0.0,0.0,1.0,0.0,0.574468085106383,0.425531914893617,0.0,nan,nan,0.7407597393541085,nan,1.0,1.0,nan,0.0,nan,nan,exact,18.15,18.05,memory,163.0,652.0,6520.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_observation_shift_smoke,reviewer1_observation_shift_smoke,configs/reviewer1_remaining/smoke/observation_shift.yaml,Reviewer1-observation-shift-smoke,Reviewer1ObservationShift-v0,Reviewer1ObservationShift-v0,native_gymnasium_observation,count_gated_tau_20,11010,train,1023,,,1023,10,-1.8900000000000015,160,0.0,1023,32,0.00348104618024081,0.013761648908257484,0,0,3,1.866166299994802,1.866166299994802,0.0,1.866166299994802,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,7cc5bc598cfd6850415c80c2a5f22423f37a7ce8561077a69366f06d0ab14b1d,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.15688708823270836,0.0,1.0,1.0,194.0,1.0,0.0,0.0,0.0,0.0,0.20625,0.14841920039480172,0.8515807996051983,0.0,nan,nan,0.17377091276170886,nan,0.79375,0.79375,nan,0.20625,nan,nan,exact,68.73625,25.299999999999997,neural,194.0,776.0,7760.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
