environment,agent,beta,lambda,epsilon,scope,target_type,target_definition,aggregation_level,requested_coverage,realized_coverage,retained_rows,total_informative_rows,selective_risk,selective_risk_ci_low,selective_risk_ci_high,bootstrap_available_seed_count,source_file
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,1.0,1.0,786,786,0.3225358691614623,0.2775960338418909,0.37522622674733375,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.9,0.9071246819338422,713,786,0.30850539606794747,0.25983033677586387,0.36435932847825475,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.8,0.8053435114503816,633,786,0.2763319023573785,0.2205686135508876,0.34129275032386347,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.7,0.7048346055979644,554,786,0.246958722266233,0.1750087129639755,0.32505507708300085,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.6,0.6068702290076335,477,786,0.20468253390451335,0.1295659541642709,0.29491375509936935,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.5,0.5038167938931297,396,786,0.16825624488540747,0.08755758703127127,0.2687407253620536,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.3999999999999999,0.40458015267175573,318,786,0.13499380156777266,0.037363690670142294,0.2752588383838383,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.29999999999999993,0.30788804071246817,242,786,0.09344805194805196,0.013090909090909097,0.22678138528138528,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.19999999999999996,0.20610687022900764,162,786,0.08991013071895425,0.005882352941176472,0.24596200980392088,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.1,0.10559796437659033,83,786,0.06666666666666668,0.0,0.17805555555555405,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
